lang	lang_desc	denom	num	pct100str	pct100
crs	Seychellois Creole	2204	42	1.9	1.9056261343012704
pnb	Western Punjabi	2204	39	1.8	1.7695099818511797
yur	Yurok	2204	39	1.8	1.7695099818511797
zun	Zuni	2204	35	1.6	1.588021778584392
gmw-cfr	Central Franconian	2204	34	1.5	1.5426497277676952
lki	Laki	2204	34	1.5	1.5426497277676952
sdh	Southern Kurdish	2204	34	1.5	1.5426497277676952
new	Newar	2204	32	1.5	1.4519056261343013
avd	Alviri-Vidari	2204	32	1.5	1.4519056261343013
bdk	Budukh	2204	31	1.4	1.4065335753176043
pwn	Paiwan	2204	31	1.4	1.4065335753176043
arq	Algerian Arabic	2204	30	1.4	1.3611615245009074
fax	Fala	2204	30	1.4	1.3611615245009074
moh	Mohawk	2204	30	1.4	1.3611615245009074
ami	Amis	2204	30	1.4	1.3611615245009074
bla	Blackfoot	2204	29	1.3	1.3157894736842106
xsv	Sudovian	2204	25	1.1	1.134301270417423
hif	Fiji Hindi	2204	20	0.9	0.9074410163339383
abe	Abenaki	2204	19	0.9	0.8620689655172413
ckv	Kavalan	2204	19	0.9	0.8620689655172413
tsu	Tsou	2204	18	0.8	0.8166969147005445
ts	Tsonga	2204	18	0.8	0.8166969147005445
bnn	Bunun	2204	17	0.8	0.7713248638838476
trv	Taroko	2204	16	0.7	0.7259528130671506
ve	Venda	2204	16	0.7	0.7259528130671506
nwy	Nottoway-Meherrin	2204	14	0.6	0.6352087114337568
mga	Middle Irish	2204	14	0.6	0.6352087114337568
klj	Khalaj	2204	13	0.6	0.5898366606170599
fkv	Kven	2204	12	0.5	0.5444646098003629
pnh	Penrhyn	2204	2	0.1	0.09074410163339383
roa-ole	Old Leonese	2204	2	0.1	0.09074410163339383
xme-ott	Old Tati	2204	1	0.0	0.045372050816696916
